cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_se,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,r2,r2_adj,sigma_residual,rend_medio,n_obs
SMALL LoBM,-0.007955046836693888,1.0055718501532254,1.5518540241752068,-0.269229759425399,0.0014208810864945888,-5.5986717764816865,30.25337710257088,31.897744078455553,-5.575611317049907,0.7971401338922479,0.796328694427817,0.03834243577374339,-0.0004576034482758618,754
ME1 BM2,-0.0017065806413481502,0.9887945222983914,1.3733133284465346,-0.2475239373631266,0.0014416649330497885,-1.183756781638534,29.319746018293127,27.820961555313147,-5.052194143047042,0.7686758458273322,0.7677505492106416,0.038903287282886986,0.005491603448275862,754
ME1 BM3,-0.0011282852106666926,0.9976024389671204,1.5084577593933184,-0.06183698072176558,0.001239282291429059,-0.9104343848612797,34.41166966238727,35.549192920002426,-1.4682675262706582,0.826309899648116,0.8256151392467084,0.03344199744532048,0.006872209549071619,754
ME1 BM4,0.000160720037001021,0.9418642401755333,1.3230428955312423,0.10977933224652811,0.0010929265920825964,0.14705474106432467,36.839676025296484,35.35491260393181,2.955675508854951,0.8309493820397126,0.8302731795678714,0.02949259305416392,0.0080634124668435,754
ME1 BM5,-0.000807555660755409,0.9452430690790409,1.150004594767788,0.1613763350122643,0.0011625747722273587,-0.6946268575983512,34.75690476723605,28.889865296924963,4.084567849879448,0.7919701509102718,0.7911380315139129,0.03137204721773993,0.0070129748010610065,754
ME1 BM6,0.0004281442877128524,0.8817041474624158,1.153176428459857,0.26627262612056235,0.0009526238903023674,0.4494368575797079,39.56579548925401,35.354208902538424,8.224930065839168,0.8384090129671278,0.8377626490189962,0.02570652863045988,0.008184738726790451,754
ME1 BM7,0.002113016815094298,0.8039860212891615,1.25024249079911,0.33265071464953294,0.0009384587106982048,2.251582079218203,36.622822744826244,38.90862835707199,10.43038771530322,0.8396984990431966,0.8390572930393694,0.02532428166105579,0.009745338196286472,754
ME1 BM8,0.0015622623274448313,0.8432456618051088,1.110162771606513,0.44644843438017034,0.0008033826904046933,1.9446054117221052,44.86938658121238,40.35812909611783,16.35219265687584,0.8694596407231681,0.8689374792860607,0.021679259088861435,0.009559701591511935,754
ME1 BM9,0.0030884922181939707,0.8325785635711667,1.0815255331367915,0.47811851968091595,0.0007103689560894068,4.347729713860488,50.10253934606692,44.465137413876164,19.805178151088484,0.8914443813830548,0.891010158908587,0.019169286109448784,0.011073836870026525,754
SMALL HiBM,0.002064702833087047,0.9297630835187607,1.1470591803882713,0.7098282055218835,0.0008907048385803925,2.318055031987673,44.62281600574037,37.61134371648639,23.45020274933245,0.8632838330988685,0.8627369684312639,0.024035644777907483,0.011413927055702919,754
