,media,desv_tipica,error_estandar,t_stat,p_valor,media_anual_%,prima_realizada_anual_%
gamma_0,0.00884870451435654,0.04116880058246288,0.0014992792881307227,5.901972090462854,5.429424021485829e-09,10.618445417227848,
gamma_MKT,-0.0027782985571834463,0.03906128816737804,0.0014225282128331573,-1.9530709704871787,0.05118123525238949,-3.333958268620135,7.167374005305039
gamma_SMB,0.001295616994064004,0.02883060194102459,0.0010499485956103527,1.233981358211961,0.21759484473819968,1.5547403928768047,1.7702387267904505
gamma_HML,0.0024240181812720165,0.02822289981808072,0.0010278173896147394,2.358413280184547,0.01860789024740983,2.90882181752642,3.5565517241379303
