Factor,gamma estimada (% an),Prima realizada (% an),t-stat de gamma,p-valor
MKT,-6.42832676728838,7.167374005305039,-2.0190160155788592,0.04383946870409128
SMB,1.520698520404107,1.7702387267904505,1.089711556026091,0.2761888272857185
HML,3.8167339148784007,3.5565517241379303,2.8225302814418836,0.004890281544389419
