,coef,ee_MCO,t_MCO,p_MCO,ee_HC1,t_HC1,p_HC1,coef_anual_%
const,0.011195948493022214,0.0017226201399289569,6.499371645268208,3.596585099789866e-09,0.0015084474100370935,7.42216693702759,1.1521945765743643e-13,13.435138191626656
beta_MKT,-0.005154130269204771,0.0016454578953483798,-3.1323379855389906,0.0022993556736924984,0.0013916100802749637,-3.7037172569103434,0.00021246305770493114,-6.184956323045725
beta_SMB,0.0012601942385749602,0.0003112402877199291,4.048943174441964,0.00010426034184740921,0.0004361120061347535,2.8896114320355926,0.0038571827436535123,1.5122330862899522
beta_HML,0.003210454314543485,0.00035996804456262194,8.918720322645132,3.125428309124806e-14,0.00040256563793382715,7.974983485975553,1.5240119720299542e-15,3.8525451774521824
