,coef,ee_MCO,t_MCO,p_MCO,ee_HC1,t_HC1,p_HC1,coef_anual_%
const,0.09791334609709314,0.018263485048280223,5.36115346212705,5.689881702561545e-07,0.020627840057500263,4.74666013621198,2.0680300626115387e-06,9.791334609709313
beta_MKT,-0.02327706257723064,0.0185646504640677,-1.253837912126809,0.21294564831163665,0.020574062240119265,-1.1313790298466457,0.25789559385286964,-2.327706257723064
beta_SMB,0.021192165563663067,0.0038213395230819076,5.545742647481792,2.576061555499057e-07,0.0052910755398251335,4.005266113506187,6.19477015626333e-05,2.1192165563663066
beta_HML,0.03786284392013656,0.004523265809794098,8.370687355616647,4.638964889352685e-13,0.005835912553935552,6.487904602786255,8.703835893082968e-11,3.7862843920136555
