Factor,gamma estimada (%),Prima realizada (%),t-stat de gamma,p-valor
MKT,-2.146107078614777,7.474742698424028,-0.669354751506629,0.5057948754240238
SMB,1.868097102090011,1.9382142486569907,1.2043905631726501,0.2330910348493167
HML,3.481051308262617,3.8385144978093138,1.904479523926007,0.0615662305120519
