,media,desv_tipica,error_estandar,t_stat,p_valor,media_anual_%,prima_realiz_anual_%
gamma_0,0.08305542627874354,0.17414630731939995,0.022116603146178,3.7553427951749665,0.00038883425015590056,8.305542627874354,
gamma_MKT,-0.0016073885173122312,0.09270040495027675,0.011772963201654234,-0.1365321958269924,0.891850186643111,-0.16073885173122313,7.694193548387098
gamma_SMB,0.013182093554452812,0.08861162013695716,0.011253687011086196,1.1713577551487713,0.24601019555746673,1.3182093554452812,2.1187096774193543
gamma_HML,0.030920273947797363,0.10930007434982446,0.01388112332355797,2.2275051684989977,0.029613090980749712,3.0920273947797363,3.6556451612903245
