cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,alpha_se,r2,sigma_residual,rend_medio
SMALL LoBM,-0.08925808485776535,1.0323834040937943,1.9120665570707653,-0.4695010629056879,-4.597230653013136,9.954867051419185,14.39103611517196,-4.137886795667388,0.019415620314648222,0.8875141990133424,0.13192834776733472,0.013523338709677427
ME1 BM2,-0.01612776885704708,1.016961912797336,1.648363879058249,-0.513361231503379,-0.8847256383136713,10.44442969065801,13.213800313562706,-4.818930758826409,0.0182291189026548,0.8846412495683731,0.12386611908902645,0.07827662903225807
ME1 BM3,-0.016881669128744402,1.113481038963638,1.6624832669929017,-0.1812708942474577,-0.9165741196477056,11.318288312824267,13.190152510421477,-1.684122116621826,0.018418225833425277,0.8805524184884861,0.12515109296694463,0.09738829032258067
ME1 BM4,-0.0032275925241015803,1.0342814220468506,1.7724524384656362,0.14608829366580245,-0.14946162050690528,8.966757609996128,11.994051357392667,1.157603145124756,0.02159479144649353,0.8362264846973495,0.14673572668531462,0.11924561290322581
ME1 BM5,-0.014596764781009155,1.0199040626807885,1.3476943635010796,0.15122469001328673,-0.9742909825766437,12.744920049811654,13.145097550628913,1.7272216459693976,0.014981935625028617,0.8851648279654556,0.10180164122159846,0.09795859677419354
ME1 BM6,-0.00046010770519964365,1.0360013880017778,1.4632583002993595,0.27343770268054624,-0.026168359463690942,11.031207356904973,12.161252760165668,2.661145882594271,0.017582596487871208,0.8596617189406428,0.11947302566246228,0.12024995161290321
ME1 BM7,0.020736190989037985,0.8371152916874279,1.4954443679039802,0.40454562079650114,1.4389855741746433,10.875730858140605,15.164847431988443,4.803836923853881,0.014410284134315669,0.887032983926723,0.09791729266892336,0.1316183387096774
ME1 BM8,0.012881373264596036,0.9535189582126415,1.315502472823178,0.5012411078918745,0.9458453434021702,13.107896926471513,14.115295092124516,6.297931635701932,0.013618900124054341,0.8947396433040548,0.09253987061228709,0.13244224193548387
ME1 BM9,0.02817155447656499,1.0462104478940113,1.1850636104111885,0.6441057768291378,2.2689952254730885,15.77566021267647,13.94776947913794,8.87714391111854,0.0124158720830676,0.911777476713194,0.08436534416435217,0.15732329032258066
SMALL HiBM,0.01893062231431593,1.1226569752049396,1.3607012237944076,0.6971380782785941,1.2465693946869285,13.84026381493458,13.093467438000733,7.855316170890826,0.015186176072508412,0.8943219658924224,0.1031894467280206,0.1596242258064516
ME2 BM1,-0.05818933324405473,1.200167146118307,1.4629048786656282,-0.514609107137237,-2.726881095604429,10.529561235325252,10.017958689982448,-4.126611496080189,0.021339153121803695,0.8538499811155061,0.14499867470058384,0.04633627419354839
ME2 BM2,-0.005744317965905828,1.1858333758791815,1.2815152588342014,-0.3502238104621626,-0.2756126943862905,10.651974921106063,8.985140136828827,-2.875409544246395,0.02084199343102377,0.8367589735429528,0.1416204948887531,0.09984464516129032
