cartera,alpha,beta,alpha_t,beta_t,alpha_se,r2,sigma_resid,rend_medio,n_obs
SMALL LoBM,-0.10109067313293957,1.4896169575386244,-2.570166259587465,7.202604592533193,0.03933234776382347,0.46369919713137187,0.28322518298338456,0.013523338709677427,62
ME1 BM2,-0.03245406304109339,1.439146174020583,-0.9249893066525957,7.800768334697507,0.035085879163879216,0.5035249176927366,0.2526471240921577,0.07827662903225807,62
ME1 BM3,-0.014370173931996725,1.4525039375699726,-0.41961420040925484,8.066224534781266,0.03424615734639418,0.5202455507834813,0.24660043786736316,0.09738829032258067,62
ME1 BM4,0.018589091846078792,1.308214050298322,0.4934201793634279,6.603928752769248,0.03767395948431007,0.42091579737925156,0.27128342637269237,0.11924561290322581,62
ME1 BM5,0.004255857191518622,1.217837048072666,0.15156723306231257,8.248449010086293,0.028079005636851253,0.5313851334146701,0.2021918843299581,0.09795859677419354,62
ME1 BM6,0.026170479278974472,1.2227333734495187,0.829692173154208,7.372281663717832,0.03154239623532086,0.4752976102145098,0.22713113895784237,0.12024995161290321,62
ME1 BM7,0.05500771365540182,0.995694020074855,1.7530114997538475,6.034647488724583,0.031378980493354344,0.37770291054453087,0.22595441150443055,0.1316183387096774,62
ME1 BM8,0.0512280455778796,1.0555257785870082,1.7621809586336958,6.90520215852644,0.029070820069239188,0.442802863518604,0.20933376220069644,0.13244224193548387,62
ME1 BM9,0.07357648701960214,1.088441599191822,2.6179023462587647,7.365196910319869,0.028105130477746827,0.4748180761245365,0.20238000462441627,0.15732329032258066,62
SMALL HiBM,0.06867196177513253,1.182089629788232,2.1334090910041548,6.9840916681395075,0.03218883901109185,0.44841552796908657,0.2317860574629722,0.1596242258064516,62
ME2 BM1,-0.07600666807114136,1.5900684262138947,-2.233744085032161,8.887147151706865,0.03402657832669628,0.5682875068661634,0.24501928872247405,0.04633627419354839,62
