,coef,ee_MCO,t_MCO,p_MCO,ee_HC1,t_HC1,p_HC1,coef_anual_%
const,0.127371694561677,0.013810225918215839,9.222998618268246,5.8795766944949616e-15,0.016460745547492484,7.737905564130411,1.0106786978464336e-14,12.737169456167699
beta,-0.028505870828726496,0.013407114377974516,-2.1261749564512202,0.03600118831813,0.016497522805688187,-1.7278879480559315,0.08400831545913615,-2.8505870828726496
