cartera,alpha,beta,alpha_se,beta_se,alpha_t,beta_t,r2,sigma_residual,rend_medio,n_obs
SMALL LoBM,-0.008516493118659348,1.3492623096412018,0.0022018441767742195,0.04889405960810005,-3.867890929110304,27.59562859897352,0.5031445655943041,0.05992642432332321,-0.0004576034482758618,754
ME1 BM2,-0.0022385871770412877,1.2942297616274312,0.0020716984055687807,0.04600404806133228,-1.080556499451805,28.132953863146415,0.5127839445086876,0.0563843159437151,0.005491603448275862,754
ME1 BM3,-0.0009160088689186408,1.3039450843043536,0.002020932194452198,0.04487673570263119,-0.4532605653139876,29.056148222204616,0.5288987270207757,0.05500263892008633,0.006872209549071619,754
ME1 BM4,0.0009689640683114475,1.1877904057939763,0.0017671951041423062,0.03924226049804461,0.5483062204281776,30.268144360673677,0.549204065446662,0.04809681120490594,0.0080634124668435,754
ME1 BM5,0.00014512591726279783,1.1498519059362384,0.0016746503402860023,0.03718721534628605,0.08666042920817295,30.920624070096608,0.5597408775717961,0.0455780694854626,0.0070129748010610065,754
ME1 BM6,0.0017796045119438982,1.0723817470843344,0.0015507684238543536,0.03443629869638553,1.1475630304109394,31.141028149953083,0.5632385392239913,0.042206441116671496,0.008184738726790451,754
ME1 BM7,0.00374497952093841,1.0046120664399782,0.001632459682605246,0.036250331368160936,2.294071676527894,27.713182984096527,0.5052698338584649,0.04442978874819391,0.009745338196286472,754
ME1 BM8,0.003584332962946553,1.0004280994644843,0.00146577403884359,0.03254891694117052,2.4453516489993112,30.73614096815189,0.556789410253491,0.039893194050879155,0.009559701591511935,754
ME1 BM9,0.005222195336392812,0.9797130490418179,0.0014032736926141527,0.03116103686940904,3.7214374956779857,31.44032251390221,0.567938727773155,0.0381921552998141,0.011073836870026525,754
SMALL HiBM,0.0050966200900557585,1.0576772403903538,0.001634822943090011,0.036302809831546504,3.117536435121553,29.13485885247513,0.5302466206280003,0.04449410835449958,0.011413927055702919,754
ME2 BM1,-0.006176223979129283,1.508873294163092,0.002021085317005959,0.044880135935649455,-3.0558947349529793,33.62006960777841,0.6004906910253729,0.055006806375361754,0.002835992042440317,754
ME2 BM2,-0.0013509243007152763,1.4428701949015936,0.0018500936357311278,0.041083101819915965,-0.7301923938468187,35.12077060846777,0.6212480886275864,0.050353016540494296,0.007267067639257293,754
ME2 BM3,0.0007625977622175352,1.2343895386450492,0.0017055444446780488,0.03787324853501813,0.4471286366046526,32.59265012621549,0.5855106979647966,0.046418897927554784,0.00813537400530504,754
ME2 BM4,0.000919717437335076,1.1831213616630079,0.0017506898579305495,0.038875745691667025,0.525345727667751,30.433406243744635,0.5518987676077525,0.04764759667897353,0.007986278514588859,754
ME2 BM5,0.0017304202736668703,1.1296085519385324,0.0014603279081354626,0.03242798039067093,1.1849532314124298,34.83437877813398,0.6173872940542222,0.039744969601947594,0.008477359416445623,754
ME2 BM6,0.0011008219812370726,1.097327906327801,0.0013555518397242092,0.030101327402035073,0.8120840155113787,36.45446898975005,0.6386228220211694,0.03689333495823677,0.007654954907161803,754
ME2 BM7,0.003243655944271735,1.0473621445584802,0.0013378303511374175,0.029707804768396084,2.4245644759920366,35.255454003544905,0.6230476368273226,0.03641101860910762,0.009499352785145888,754
ME2 BM8,0.002916545733255974,1.0631612117519706,0.0014198627464463763,0.03152941270429806,2.0541039903719476,33.719664293240754,0.6019090915469382,0.03864365077327159,0.009266607427055703,754
ME2 BM9,0.0029629749057838643,1.0686881139200555,0.001392533157570516,0.03092253299788811,2.1277589619145734,34.56017377337887,0.6136468187026302,0.03789983585810526,0.009346047745358091,754
ME2 BM10,0.005829833472159935,1.2072718023740234,0.0023950906975266075,0.053185283757561784,2.4340762870401362,22.69935811336864,0.4065941555739019,0.06518591231242307,0.013040640583554378,754
ME3 BM1,-0.0046223799275204565,1.466653373009977,0.0017872902856887287,0.03968849325816926,-2.586250238438034,36.95412076920025,0.6448821782571903,0.04864373109547212,0.004137664456233423,754
ME3 BM2,8.646809334029426e-07,1.3279849074222758,0.0016110478432900758,0.03577486096074602,0.0005367195871955574,37.12061687337954,0.6469384440756036,0.0438470340819561,0.007932668435013262,754
ME3 BM3,0.001153292792515061,1.2089817329729424,0.0014317800999707837,0.03179404895773486,0.8054957549267479,38.025409553218324,0.6578601712364405,0.03896799905897133,0.008374312997347479,754
ME3 BM4,0.00021776264607825118,1.1721369967485293,0.0013519544447256455,0.030021443799303774,0.16107247320928936,39.043325317209174,0.6696511186792755,0.03679542656788992,0.007218716180371352,754
ME3 BM5,0.001164946352500242,1.1341060175896134,0.0012429011923557481,0.027599811842748793,0.9372799379910856,41.09107786861863,0.691863476492944,0.03382738207850595,0.00793874801061008,754
ME3 BM6,0.004087690572093301,1.111517999032232,0.0013292923165043966,0.02951820952878447,3.075087790202977,37.6553326497782,0.653444096047987,0.03617864345209028,0.01072657824933687,754
ME3 BM7,0.00262628275312737,1.0388972586081864,0.0012242019975050031,0.027184578304744644,2.1453018035258,38.21641987460453,0.6601121875345122,0.03331845601691156,0.008831420424403184,754
ME3 BM8,0.0019975814035936203,1.0035564831110062,0.0012873553588119402,0.028586959201978266,1.551693858203321,35.10539459690272,0.621041992072701,0.03503726753275105,0.00799163527851459,754
ME3 BM9,0.005059285503442883,1.0712138848460249,0.001453937137993355,0.032286067216448194,3.47971406138331,33.17882842975353,0.5941353981173796,0.03957103540291184,0.011457444297082226,754
ME3 BM10,0.0025866111896333762,1.2324132703489379,0.0017067366248653155,0.03789972203834533,1.5155303706203027,32.51773902463017,0.5843933861012605,0.04645134486295812,0.009947583554376659,754
ME4 BM1,-0.003025023494954476,1.4153204652371882,0.0016862764182395394,0.03744538354659051,-1.7939072516429893,37.796927983825036,0.6551420149625056,0.04589449027854542,0.005428419098143237,754
ME4 BM2,-0.0016169380522936668,1.2891966895591043,0.001413857566481345,0.03139606192940454,-1.143635745655573,41.062369301536,0.6915654013681864,0.03848021097743208,0.006083190981432361,754
ME4 BM3,8.917347463042479e-05,1.2093658710178,0.0013817486634198337,0.0306830529722765,0.06453668238746116,39.41478288065127,0.6738270180220827,0.037606320004711404,0.007312488063660479,754
ME4 BM4,0.0015956419196144211,1.1480586194317144,0.0012857025137986697,0.028550256194810792,1.2410661894873494,40.2118499952509,0.6825655297085046,0.03499228292727772,0.008452779840848806,754
ME4 BM5,0.0012134871093248116,1.0857294814186949,0.0011773254759850694,0.026143640230382875,1.030715069092925,41.52939192289345,0.696368992273694,0.03204264261056941,0.007698344827586206,754
ME4 BM6,0.002357674600534612,1.0252333410007557,0.001194329748625961,0.02652123639675382,1.9740566650433375,38.65707185228527,0.6652375759975583,0.032505438873963684,0.00848120026525199,754
ME4 BM7,0.0036356611117095462,1.0061762011260138,0.0011665972139606857,0.025905408893013664,3.1164664789196626,38.84039064125198,0.6673414128782599,0.031750657197111634,0.009645362068965517,754
ME4 BM8,0.002587452429490516,1.0238887239178758,0.0012736200049566265,0.028281952509304882,2.0315733259691005,36.20290089876263,0.6354204601886773,0.0346634396969546,0.008702946949602122,754
ME4 BM9,0.004964498945966076,1.065586498221735,0.0014310262858846998,0.0317773097936981,3.4691878094306885,33.53293608362833,0.5992449182482468,0.03894748290107966,0.011329046419098142,754
ME4 BM10,-0.0006556563243752979,1.3407191892037265,0.002074466827067422,0.0460655235132297,-0.316060163421446,29.104612016808648,0.5297291359298093,0.05645966260229492,0.007352206896551724,754
ME5 BM1,-0.004038066608084862,1.4164201670913692,0.001509413796868948,0.03351797958088052,-2.6752548681224617,42.25851870556452,0.7036782984013272,0.04108091418311216,0.0044219442970822274,754
ME5 BM2,-0.0002645482278769228,1.231935020277385,0.001310060020870791,0.02909113797711466,-0.20193595992730073,42.34743313398467,0.7045540819223989,0.03565520826943374,0.007093567639257296,754
ME5 BM3,0.0005290048989603841,1.1469917411310915,0.0012733043569373478,0.028274943242603545,0.41545832783670705,40.56566024871274,0.6863494602987634,0.0346548488723451,0.007379770557029177,754
ME5 BM4,0.003334321049872005,1.1400728163420697,0.0011940426715443743,0.02651486157509874,2.792463895414554,42.99750210322658,0.7108565506582236,0.03249762564940123,0.01014376127320955,754
ME5 BM5,0.0007455527516666014,1.0871373876414758,0.001154479984824378,0.025636334210106897,0.6457909720972915,42.406116987384316,0.7051302734430671,0.03142086900296743,0.007238819628647214,754
ME5 BM6,0.0036238420025728104,1.0071620140024653,0.001110178435156807,0.024652575852896163,3.264197797231543,40.854230406278006,0.6893932942543844,0.03021513723885637,0.009639431034482759,754
ME5 BM7,0.0032047822356992424,1.0016696334590376,0.0012063489451509953,0.02678813417159884,2.656596375850529,37.39228820650831,0.6502623618568684,0.03283255896655799,0.009187566312997348,754
ME5 BM8,0.002726086320491789,0.9862331329741741,0.001226192047363667,0.027228769268591663,2.2232131796588623,36.2202611232889,0.6356425532150318,0.033372618147689395,0.008616671087533157,754
ME5 BM9,0.0036749074980611043,1.0609054616324924,0.001364396767612308,0.030297737500420703,2.6934302288711707,35.01599621482499,0.6198410594639753,0.037134062666092975,0.010011496021220158,754
ME5 BM10,0.0016286554513527585,1.169840965844348,0.0017785183201279645,0.03949370335816982,0.9157372363955051,29.62094881898054,0.5384805947195824,0.04840498916455398,0.008615895225464193,754
ME6 BM1,-0.003098845899502408,1.3659695366325784,0.001438679217229379,0.031947250466744105,-2.1539519459175844,42.75702968724966,0.7085456117620673,0.03915576867166965,0.005059832891246685,754
ME6 BM2,-0.0008797999797033716,1.2112912589533351,0.0012044428871407094,0.026745808327220538,-0.7304621822226667,45.2890129224677,0.7317250814670545,0.03278068279733851,0.006355014588859417,754
ME6 BM3,0.000636325667588505,1.1364730646471126,0.0010515012470461173,0.023349592670261096,0.6051592134351473,48.67207238670877,0.7590493186090894,0.028618151353155697,0.00742426525198939,754
ME6 BM4,0.0008574379638047194,1.0625859387790046,0.0010223082878175352,0.02270133503980958,0.8387273917491292,46.80720040982742,0.7444709572239844,0.027823622076089204,0.007204063660477455,754
ME6 BM5,0.00035603453295148207,1.0198982929176388,0.001035424080947978,0.022992583792964708,0.34385382714444523,44.35770690676827,0.7234893748587552,0.028180587656470708,0.006447694960212201,754
ME6 BM6,0.0011857394024513406,0.9740671678809132,0.0010699173809447138,0.023758540568612336,1.1082532385859163,40.99861121805452,0.6909020963789361,0.02911937349505098,0.007003659151193634,754
ME6 BM7,0.003261707807807079,1.0180038443240738,0.001135856191301344,0.025222775030829175,2.8715851819851936,40.36050129614179,0.684162345804542,0.03091399509928985,0.009342053050397876,754
ME6 BM8,0.0017388758171313207,0.9796866068353471,0.00120315755234701,0.026717266236602855,1.4452602767935756,36.66866954722969,0.6413225646105405,0.032745700522454006,0.007590359416445622,754
ME6 BM9,0.00353731757357735,1.034746208398508,0.0014847049368945729,0.03296929567073878,2.3825054296485653,31.385147524303218,0.5670765106246642,0.04040842625549719,0.009717661803713527,754
ME6 BM10,0.005531304765111185,1.1183231280351216,0.0018617643167476877,0.04134226047397058,2.9710016006611464,27.050362394654904,0.49316654572976226,0.050670651271470184,0.012210838196286473,754
ME7 BM1,-0.0004929175316468824,1.2440701274257253,0.0013547831456596363,0.030084257813818942,-0.3638350043149405,41.35286085915247,0.6945646026034258,0.03687241381986815,0.006937679045092838,754
ME7 BM2,-0.0004628331499143471,1.15205266904306,0.0009429434556062603,0.020938962898375865,-0.49083871059561157,55.01956685411669,0.801013599510178,0.025663591560937133,0.006418160477453582,754
ME7 BM3,0.0006487999019442091,1.0826356997744129,0.0009477684816348879,0.021046107224365354,0.6845552627209527,51.441137699851275,0.7787057649415101,0.02579491173346007,0.007115179045092839,754
