,media,media_anual_%,error_std,t_stat,p_valor
gamma_0,0.007757555928070793,9.309067113684952,0.0019711639686409627,3.935520358267969,9.070144063927366e-05
gamma_1,-0.0008482083311108375,-1.0178499973330049,0.0019457158250660621,-0.435936389160035,0.6630078273325779
gamma_3,-0.0054095728496449,-6.49148741957388,0.039848007743941975,-0.13575516458454082,0.8920511188236544
