,coef,ee_MCO,t_MCO,p_MCO,ee_HC1,t_HC1,p_HC1,coef_anual_%
const,0.011488865996922726,0.0015227260167297817,7.544933146670932,2.3411273511022228e-11,0.001883568553381964,6.099521026879731,1.0638676548877292e-09,13.78663919630727
beta,-0.0035105874059330865,0.0013780180714316318,-2.547562676217965,0.012402488919311597,0.0017320965670644187,-2.026785037674244,0.04268440128979015,-4.2127048871197035
