,media,desv_tipica,error_estandar,t_stat,p_valor,media_anual_%
gamma_0,0.01149535518970231,0.09163989867997267,0.003337328270763567,3.444478414187352,0.0006038314025913483,13.794426227642772
gamma_1,-0.0035169311792579154,0.09988940795591326,0.003637757678948188,-0.9667854457735051,0.3339617005891653,-4.220317415109498
